# reltime ampl
6.245455e+00 6.715393e-02
6.254545e+00 6.499938e-02
6.263636e+00 6.289324e-02
6.272727e+00 6.083473e-02
6.281818e+00 5.882306e-02
6.290909e+00 5.685746e-02
6.300000e+00 5.493715e-02
6.309091e+00 5.306139e-02
6.318182e+00 5.122943e-02
6.327273e+00 4.944052e-02
6.336364e+00 4.769394e-02
6.345455e+00 4.598896e-02
6.354545e+00 4.432488e-02
6.363636e+00 4.270097e-02
6.372727e+00 4.111656e-02
6.381818e+00 3.957094e-02
6.390909e+00 3.806345e-02
6.400000e+00 3.659341e-02
6.409091e+00 3.516015e-02
6.418182e+00 3.376302e-02
6.427273e+00 3.240137e-02
6.436364e+00 3.107458e-02
6.445455e+00 2.978199e-02
6.454545e+00 2.852300e-02
6.463636e+00 2.729698e-02
6.472727e+00 2.610333e-02
6.481818e+00 2.494145e-02
6.490909e+00 2.381075e-02
6.500000e+00 2.271065e-02
6.509091e+00 2.164057e-02
6.518182e+00 2.059994e-02
6.527273e+00 1.958820e-02
6.536364e+00 1.860479e-02
6.545455e+00 1.764918e-02
6.554545e+00 1.672082e-02
6.563636e+00 1.581918e-02
6.572727e+00 1.494374e-02
6.581818e+00 1.409399e-02
6.590909e+00 1.326940e-02
6.600000e+00 1.246948e-02
6.609091e+00 1.169374e-02
6.618182e+00 1.094169e-02
6.627273e+00 1.021283e-02
6.636364e+00 9.506710e-03
6.645455e+00 8.822849e-03
6.654545e+00 8.160789e-03
6.663636e+00 7.520075e-03
6.672727e+00 6.900259e-03
6.681818e+00 6.300900e-03
6.690909e+00 5.721564e-03
6.700000e+00 5.161823e-03
6.709091e+00 4.621254e-03
6.718182e+00 4.099441e-03
6.727273e+00 3.595977e-03
6.736364e+00 3.110457e-03
6.745455e+00 2.642484e-03
6.754545e+00 2.191668e-03
6.763636e+00 1.757624e-03
6.772727e+00 1.339974e-03
6.781818e+00 9.383435e-04
6.790909e+00 5.523664e-04
6.800000e+00 1.816812e-04
6.809091e+00 -1.740675e-04
6.818182e+00 -5.152296e-04
6.827273e+00 -8.421494e-04
6.836364e+00 -1.155165e-03
6.845455e+00 -1.454611e-03
6.854545e+00 -1.740813e-03
6.863636e+00 -2.014095e-03
6.872727e+00 -2.274773e-03
6.881818e+00 -2.523159e-03
6.890909e+00 -2.759560e-03
6.900000e+00 -2.984276e-03
6.909091e+00 -3.197605e-03
6.918182e+00 -3.399836e-03
6.927273e+00 -3.591257e-03
6.936364e+00 -3.772149e-03
6.945455e+00 -3.942787e-03
6.954545e+00 -4.103444e-03
6.963636e+00 -4.254386e-03
6.972727e+00 -4.395876e-03
6.981818e+00 -4.528170e-03
6.990909e+00 -4.651521e-03
7.000000e+00 -4.766178e-03
7.009091e+00 -4.872385e-03
7.018182e+00 -4.970380e-03
7.027273e+00 -5.060399e-03
7.036364e+00 -5.142672e-03
7.045455e+00 -5.217426e-03
7.054545e+00 -5.284882e-03
7.063636e+00 -5.345258e-03
7.072727e+00 -5.398769e-03
7.081818e+00 -5.445623e-03
7.090909e+00 -5.486028e-03
7.100000e+00 -5.520183e-03
7.109091e+00 -5.548288e-03
7.118182e+00 -5.570536e-03
7.127273e+00 -5.587116e-03
7.136364e+00 -5.598217e-03
7.145455e+00 -5.604019e-03
7.154545e+00 -5.604703e-03
7.163636e+00 -5.600443e-03
7.172727e+00 -5.591411e-03
7.181818e+00 -5.577776e-03
7.190909e+00 -5.559702e-03
7.200000e+00 -5.537350e-03
7.209091e+00 -5.510879e-03
7.218182e+00 -5.480443e-03
7.227273e+00 -5.446194e-03
7.236364e+00 -5.408280e-03
7.245455e+00 -5.366845e-03
7.254545e+00 -5.322032e-03
7.263636e+00 -5.273979e-03
7.272727e+00 -5.222821e-03
7.281818e+00 -5.168692e-03
7.290909e+00 -5.111721e-03
7.300000e+00 -5.052035e-03
7.309091e+00 -4.989757e-03
7.318182e+00 -4.925009e-03
7.327273e+00 -4.857909e-03
7.336364e+00 -4.788571e-03
7.345455e+00 -4.717110e-03
7.354545e+00 -4.643635e-03
7.363636e+00 -4.568254e-03
7.372727e+00 -4.491070e-03
7.381818e+00 -4.412188e-03
7.390909e+00 -4.331706e-03
7.400000e+00 -4.249721e-03
7.409091e+00 -4.166330e-03
7.418182e+00 -4.081623e-03
7.427273e+00 -3.995692e-03
7.436364e+00 -3.908625e-03
7.445455e+00 -3.820506e-03
7.454545e+00 -3.731419e-03
7.463636e+00 -3.641446e-03
7.472727e+00 -3.550665e-03
7.481818e+00 -3.459153e-03
7.490909e+00 -3.366985e-03
7.500000e+00 -3.274233e-03
7.509091e+00 -3.180969e-03
7.518182e+00 -3.087260e-03
7.527273e+00 -2.993175e-03
7.536364e+00 -2.898776e-03
7.545455e+00 -2.804129e-03
7.554545e+00 -2.709292e-03
7.563636e+00 -2.614327e-03
7.572727e+00 -2.519290e-03
7.581818e+00 -2.424237e-03
7.590909e+00 -2.329221e-03
7.600000e+00 -2.234297e-03
7.609091e+00 -2.139513e-03
7.618182e+00 -2.044919e-03
7.627273e+00 -1.950562e-03
7.636364e+00 -1.856489e-03
7.645455e+00 -1.762743e-03
7.654545e+00 -1.669368e-03
7.663636e+00 -1.576405e-03
7.672727e+00 -1.483893e-03
7.681818e+00 -1.391871e-03
7.690909e+00 -1.300377e-03
7.700000e+00 -1.209445e-03
7.709091e+00 -1.119111e-03
7.718182e+00 -1.029407e-03
7.727273e+00 -9.403647e-04
7.736364e+00 -8.520151e-04
7.745455e+00 -7.643874e-04
7.754545e+00 -6.775096e-04
7.763636e+00 -5.914085e-04
7.772727e+00 -5.061098e-04
7.781818e+00 -4.216382e-04
7.790909e+00 -3.380170e-04
